"RegionID";"RegionName";"State";"Metro";"CountyName";"SizeRank";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
7081;"Silver Spring";"MD";"Washington";"Montgomery";60;154878.0;153958.0;156717.0;164492.0;180292.0;201950.0;241167.0;288333.0;338317.0;403592.0;440892.0;439875.0;380683.0;339583.0;343900.0;327492.0;325325.0;347467.0;365575.0;368117.0;376700.0
25574;"Lexington";"KY";"Lexington";"Fayette";61;93389.0;96942.0;102983.0;108808.0;115492.0;120267.0;124500.0;128517.0;133833.0;140217.0;141017.0;140183.0;139900.0;140383.0;142408.0;141133.0;140842.0;141750.0;145175.0;150325.0;156713.0
12970;"Newark";"NJ";"New York";"Essex";62;97511.0;104875.0;109542.0;116308.0;128875.0;140642.0;153958.0;175858.0;213275.0;258708.0;295600.0;310058.0;288317.0;250683.0;222508.0;192900.0;180183.0;179117.0;184592.0;197683.0;211788.0
47945;"Tallahassee";"FL";"Tallahassee";"Leon";63;92344.0;94733.0;97692.0;99908.0;104725.0;110233.0;119017.0;130475.0;146908.0;171558.0;190517.0;190892.0;179775.0;169083.0;161242.0;147708.0;143992.0;147508.0;150875.0;155100.0;158550.0
7266;"Stockton";"CA";"Stockton";"San Joaquin";64;104156.0;105492.0;109658.0;116417.0;132683.0;163825.0;185283.0;214775.0;260258.0;340317.0;367158.0;316033.0;223450.0;152758.0;134850.0;130417.0;129108.0;151825.0;184067.0;211783.0;229013.0
53915;"Plano";"TX";"Dallas-Fort Worth";"Collin";65;0.0;122925.0;151433.0;157325.0;160967.0;169842.0;179867.0;179475.0;187742.0;197450.0;202667.0;208475.0;205825.0;196933.0;202542.0;200417.0;205050.0;219567.0;242492.0;269392.0;296000.0
17384;"Chandler";"AZ";"Phoenix";"Maricopa";66;125178.0;130633.0;138017.0;142967.0;151675.0;160050.0;166717.0;173042.0;192942.0;271125.0;310058.0;290108.0;249792.0;216333.0;193392.0;176050.0;188458.0;223825.0;243550.0;253783.0;264213.0
12455;"Louisville";"KY";"Louisville/Jefferson County";"Jefferson";67;66756.0;69892.0;73033.0;77033.0;81117.0;85000.0;87300.0;89317.0;92317.0;94500.0;96550.0;96617.0;97808.0;97167.0;98083.0;96917.0;95600.0;95683.0;101400.0;105075.0;111150.0
11867;"Henderson";"NV";"Las Vegas";"Clark";68;142267.0;144533.0;148242.0;151642.0;159492.0;171350.0;183600.0;204250.0;289100.0;336292.0;351108.0;327167.0;268383.0;204625.0;174600.0;155400.0;155792.0;193600.0;226825.0;242592.0;255488.0
25934;"Modesto";"CA";"Modesto";"Stanislaus";69;104022.0;104125.0;106967.0;113642.0;128200.0;156167.0;177275.0;206467.0;250250.0;319675.0;342025.0;299742.0;218433.0;153683.0;137292.0;127650.0;129942.0;154425.0;191075.0;217500.0;235538.0
32900;"Mobile";"AL";"Mobile";"Mobile";70;64644.0;67658.0;73417.0;76525.0;79550.0;80492.0;83108.0;84808.0;89117.0;102133.0;116808.0;124233.0;125217.0;116533.0;112450.0;106625.0;99708.0;99400.0;99342.0;101233.0;104800.0
18298;"Glendale";"AZ";"Phoenix";"Maricopa";72;97456.0;101067.0;106133.0;111975.0;119250.0;126358.0;132525.0;140650.0;154483.0;211383.0;250658.0;239600.0;199658.0;158017.0;123825.0;106675.0;122442.0;150825.0;166492.0;178083.0;192238.0
24457;"Durham";"NC";"Durham";"Durham";73;75700.0;94425.0;123467.0;126400.0;133250.0;137658.0;142833.0;144167.0;148008.0;152400.0;156683.0;159500.0;160792.0;157775.0;158167.0;154642.0;151042.0;156267.0;159442.0;166058.0;173888.0
13121;"Orlando";"FL";"Orlando";"Orange";74;71911.0;75425.0;80100.0;85083.0;91567.0;100658.0;110333.0;121575.0;138542.0;179625.0;226042.0;218950.0;175192.0;138367.0;107433.0;94867.0;98467.0;116767.0;131075.0;141250.0;153263.0
6210;"Norfolk";"VA";"Virginia Beach";"Norfolk City";75;77378.0;78242.0;79183.0;81517.0;83208.0;88333.0;94292.0;108150.0;134592.0;169717.0;189475.0;195967.0;191650.0;181558.0;178508.0;165300.0;158908.0;161808.0;163458.0;167250.0;173975.0
26922;"Saint Petersburg";"FL";"Tampa";"Pinellas";76;59633.0;62000.0;66092.0;71033.0;77933.0;87500.0;99542.0;114117.0;133042.0;164308.0;188175.0;179142.0;151808.0;124325.0;115975.0;99825.0;96408.0;109700.0;127375.0;143683.0;157250.0
53856;"Pensacola";"FL";"Pensacola";"Escambia";77;74189.0;76500.0;78142.0;81733.0;83625.0;84483.0;87458.0;92342.0;102933.0;129975.0;141683.0;136625.0;122167.0;118875.0;115792.0;102700.0;98883.0;104000.0;109508.0;114650.0;119425.0
18170;"Fort Wayne";"IN";"Fort Wayne";"Allen";78;67133.0;75833.0;82875.0;83808.0;85942.0;89267.0;93683.0;94417.0;96600.0;99492.0;100233.0;99992.0;98067.0;90225.0;89275.0;87908.0;87600.0;87000.0;89975.0;91700.0;94663.0
11722;"Greensboro";"NC";"Greensboro";"Guilford";79;89844.0;93558.0;98358.0;101650.0;107225.0;110025.0;110567.0;113683.0;116875.0;120600.0;124617.0;125483.0;125800.0;119550.0;120008.0;116642.0;114550.0;117283.0;118775.0;120133.0;122738.0
32503;"Lincoln";"NE";"Lincoln";"Lancaster";80;88256.0;92908.0;96600.0;103575.0;108508.0;112467.0;117042.0;120950.0;124942.0;128567.0;130608.0;129283.0;128708.0;126675.0;128992.0;129458.0;130225.0;133242.0;138133.0;145575.0;151500.0
20328;"San Bernardino";"CA";"Riverside";"San Bernardino";81;76511.0;79692.0;84592.0;88425.0;94342.0;105767.0;119075.0;143850.0;193383.0;266508.0;324550.0;310208.0;233667.0;138750.0;121792.0;123950.0;128392.0;153567.0;189167.0;210450.0;227600.0
24225;"Corona";"CA";"Riverside";"Riverside";82;149467.0;153492.0;163067.0;181758.0;201417.0;223650.0;258825.0;312150.0;408367.0;476575.0;530350.0;489083.0;373408.0;288650.0;294883.0;283625.0;285467.0;340558.0;389358.0;405583.0;418700.0
51405;"Chula Vista";"CA";"San Diego";"San Diego";83;171867.0;174825.0;183142.0;198867.0;223300.0;256450.0;299650.0;365467.0;467083.0;547892.0;552358.0;511458.0;394475.0;313800.0;317233.0;303700.0;315642.0;369050.0;411925.0;438783.0;463413.0
44564;"Chesapeake";"VA";"Virginia Beach";"Chesapeake City";84;109356.0;111158.0;114992.0;118817.0;122692.0;130192.0;141950.0;157092.0;184300.0;234617.0;265967.0;266300.0;256300.0;242433.0;240767.0;232383.0;225700.0;230042.0;234200.0;239833.0;243750.0
25104;"Hialeah";"FL";"Miami-Fort Lauderdale";"Miami-Dade";85;85278.0;88708.0;92367.0;95525.0;102558.0;109917.0;124008.0;139492.0;162300.0;208158.0;259550.0;270650.0;224817.0;154317.0;132183.0;117683.0;121192.0;138167.0;157558.0;178067.0;194325.0
398849;"Madison";"WI";"Madison";"Dane";86;106978.0;121700.0;126242.0;132183.0;140775.0;150508.0;160158.0;172900.0;184725.0;196233.0;200667.0;199142.0;194775.0;191108.0;190142.0;186233.0;183400.0;186675.0;195208.0;203383.0;214713.0
24741;"Fontana";"CA";"Riverside";"San Bernardino";87;108211.0;110983.0;115625.0;121533.0;132808.0;149358.0;169208.0;205367.0;279850.0;361375.0;417942.0;399517.0;309550.0;213408.0;198867.0;197233.0;203900.0;243283.0;289308.0;311200.0;330388.0
31614;"Fort Myers";"FL";"Fort Myers";"Lee";88;91789.0;97092.0;100483.0;100017.0;104942.0;112867.0;126575.0;143167.0;166425.0;229492.0;270592.0;226158.0;170558.0;137317.0;124875.0;121775.0;126883.0;141408.0;156233.0;174108.0;187975.0
25428;"Knoxville";"TN";"Knoxville";"Knox";89;67000.0;70133.0;74517.0;78467.0;80350.0;82258.0;85092.0;88967.0;94417.0;102025.0;110550.0;114200.0;110183.0;115842.0;116467.0;112875.0;111750.0;120642.0;123583.0;116600.0;118450.0
52893;"Laredo";"TX";"Laredo";"Webb";90;63856.0;68942.0;69533.0;73492.0;75100.0;75050.0;78758.0;81408.0;88092.0;95075.0;101817.0;91033.0;92767.0;99792.0;98842.0;94792.0;92583.0;100700.0;111108.0;112408.0;117725.0
26187;"North Las Vegas";"NV";"Las Vegas";"Clark";91;118689.0;121033.0;123108.0;126992.0;132433.0;139475.0;149308.0;163842.0;225333.0;274583.0;288333.0;270033.0;212242.0;136658.0;113400.0;101283.0;103217.0;137083.0;160267.0;170575.0;181613.0
5573;"Lawrenceville";"GA";"Atlanta";"Gwinnett";92;118489.0;122233.0;126825.0;133758.0;143067.0;150025.0;155242.0;160633.0;164883.0;169925.0;176267.0;178125.0;168667.0;144583.0;141400.0;121533.0;112133.0;131042.0;150708.0;160792.0;171125.0
11540;"Fremont";"CA";"San Francisco";"Alameda";93;214678.0;230750.0;264433.0;293583.0;376400.0;435050.0;432208.0;461300.0;525467.0;644000.0;668425.0;659608.0;588567.0;533917.0;532100.0;503592.0;515750.0;629342.0;709825.0;816808.0;890200.0
